,College_Name,State,,
533,National Institute of Foundry & Forge Technology ,Jharkhand,,
534,"Arka Jain University, Jamshedpur ",Jharkhand,,
535,"Amity University, Ranchi ",Jharkhand,,
536,Jharkhand Rai University ,Jharkhand,,
537,Netaji Subhas University ,Jharkhand,,
538,Radha Govind University ,Jharkhand,,
539,Cambridge Institute of Technology ,Jharkhand,,
540,Sarala Birla University ,Jharkhand,,
541,Birla Institute of Technology Extension Centre ,Jharkhand,,
542,"Chaibasa Engineering College, Techno India Group, Chaibasa ",Jharkhand,,
543,Ramgarh Engineering College ,Jharkhand,,
544,Capital University ,Jharkhand,,
545,RTC Institute of Technology ,Jharkhand,,
546,"University College of Engineering and Technology, Vinoba ",Jharkhand,,
547,RVS College of Engineering and Technology ,Jharkhand,,
548,"KK College of Engineering and Management, Dhanbad ",Jharkhand,,
549,"Ramgovind Institute of Technology, Kodarma ",Jharkhand,,
550,Nilai Institute of Technology ,Jharkhand,,
551,"Maryland Institute of Technology And Management, Jamshedpur ",Jharkhand,,
552,Ramchandra Chandarvansi Institute of Technology ,Jharkhand,,
553,Vidya Memorial Institute of Technology ,Jharkhand,,
554,Indian Institute of Technology ,Himachal pradesh,,
555,National Institute of Technology ,Himachal pradesh,,
556,Jaypee University of Information Technology ,Himachal pradesh,,
557,Indian Institute of Information Technology ,Himachal pradesh,,
558,Baddi University of Emerging Sciences and Technologies ,Himachal pradesh,,
559,Maharishi Markandeshwar ,Himachal pradesh,,
560,"Arni University, Kangra ",Himachal pradesh,,
561,Bahra University ,Himachal pradesh,,
562,Eternal University ,Himachal pradesh,,
563,Abhilashi University ,Himachal pradesh,,
564,IEC University Baddi ,Himachal pradesh,,
565,"University Institute of Information Technology, Himachal Pradesh ",Himachal pradesh,,
566,Career Point University ,Himachal pradesh,,
567,Sri Sai University ,Himachal pradesh,,
568,"Green Hills Engineering College, Solan ",Himachal pradesh,,
569,"Rajiv Gandhi govt. Engineering college -[RGGEC], Kangra ",Himachal pradesh,,
570,Indus International University ,Himachal pradesh,,
571,Jawaharlal Nehru Government Engineering College ,Himachal pradesh,,
572,Maharaja Agrasen University ,Himachal pradesh,,
573,"ICFAI University, Baddi ",Himachal pradesh,,
574,Himachal Institute of Engineering and Technology ,Himachal pradesh,,
575,"LR Institute of Engineering and Technology, Solan ",Himachal pradesh,,
576,"Himalayan Group of Professional Institutions, Sirmaur ",Himachal pradesh,,
577,Manav Bharti University ,Himachal pradesh,,
578,"Chitkara University, Solan ",Himachal pradesh,,
579,"Bells Institute of Management & Technology, Shimla ",Himachal pradesh,,
580,"Shiva Group of Institutions, Bilaspur ",Himachal pradesh,,
581,Mahatma Gandhi Government Engineering College ,Himachal pradesh,,
582,Shri Mata Vaishno Devi University ,Jammu,,
583,National Institute of Technology ,Jammu,,
584,Indian Institute of Technology ,Jammu,,
585,Government College of Engineering and Technology ,Jammu,,
586,Islamic University of Science and Technology ,Jammu,,
587,SSM College of Engineering and Technology ,Jammu,,
588,"Yogananda College of Engineering & Technology -[YCET], ",Jammu,,
589,"MBS College of Engineering and Technology, Jammu ",Jammu,,
590,Sher-e-Kashmir University of Agricultural Sciences and Technology ,Jammu,,
591,"Government Degree College for Boys, Udhampur ",Jammu,,
592,Baba Ghulam Shah Badshah University ,Jammu,,
593,"Central University of Jammu, Jammu ",Jammu,,
594,Central University of Kashmir ,Jammu,,
595,University of Kashmir ,Jammu,,
596,"Govt. Gandhi Memorial Science College, Jammu ",Jammu,,
597,Kashmir Government Polytechnic ,Jammu,,
598,Cluster University of Srinagar ,Jammu,,
599,Bhargava College of Engineering & Technology ,Jammu,,
600,"Government Polytechnic College -[GPC], Anantnag ",Jammu,,
601,"Masterpro Institute of Technology, Srinagar ",Jammu,,
602,"Kite Polytechnic College, Budgam ",Jammu,,
603,"Government Polytechnic Kargil, Kargil ",Jammu,,
604,"Government Polytechnic College, Baramulla ",Jammu,,
605,Government Polytechnic College ,Jammu,,
606,"Government Polytechnic For Women-[GPW], Jammu ",Jammu,,
607,"Government Polytechnic College, Bandipora ",Jammu,,
608,"Government Polytechnic, Kulgam ",Jammu,,
609,"Government Polytechnic College, Budgam ",Jammu,,
610,"Government Polytechnic College, Sopore ",Jammu,,
611,Panjab University ,Chandigarh,,
612,Punjab Engineering College University of Technology ,Chandigarh,,
613,"University Institute of Engineering, Chandigarh University ",Chandigarh,,
614,National Institute of Technical Teachers Training and ,Chandigarh,,
615,"University Institute of Engineering and Technology -[UIET], ",Chandigarh,,
616,Chandigarh College of Engineering and Technology ,Chandigarh,,
617,Apex Institute of Technology ,Chandigarh,,
618,"IITT Institutions, Chandigarh ",Chandigarh,,
619,Dr. S. S. Bhatnagar University Institute of ,Chandigarh,,
620,Swami Vivekanand Institute of Engineering & Technology ,Chandigarh,,
621,"Gurukul Vidyapeeth, Chandigarh ",Chandigarh,,
622,"Morph Academy, Chandigarh ",Chandigarh,,
623,Indo Swiss Training Centre ,Chandigarh,,
624,"Artex Informatic Solutions, Chandigarh ",Chandigarh,,
625,Swami Vivekanand Polytechnic College ,Chandigarh,,
626,"PG Government College for Girls, Chandigarh ",Chandigarh,,
627,Government Industrial Training Institute ,Chandigarh,,
628,Government Polytechnic for Women ,Chandigarh,,
629,"Longowal Polytechnic College, Chandigarh ",Chandigarh,,
630,"Universal Polytechnic College, Chandigarh ",Chandigarh,,
631,Swami Vivekanand Industrial Training Centre ,Chandigarh,,
632,Swami Vivekanand Group Of Institutes ,Chandigarh,,
633,National Institute of Technology ,Goa,,
634,Indian Institute of Technology ,Goa,,
635,Birla Institute of Technology and Science ,Goa,,
636,Goa College of Engineering ,Goa,,
637,"Padre Conceicao College of Engineering, Salcete ",Goa,,
638,National Centre for Antarctic and Ocean Research ,Goa,,
639,"Shree Rayeshwar Institute of Engineering and Information Technology, North Goa ",Goa,,
640,National Institute of Oceanography ,Goa,,
641,"Goa University, North Goa ",Goa,,
642,International Institute of Hotel Management ,Goa,,
643,"Government Polytechnic, Bicholim ",Goa,,
644,"Agnel Polytechnic, South Goa ",Goa,,
645,"Government Polytechnic, Curchorem ",Goa,,
646,Government Polytechnic ,Goa,,
647,North Eastern Regional Institute of Science and Technology ,Arunachal pradesh,,
648,National Institute of Technology ,Arunachal pradesh,,
649,"Arunodaya University, Itanagar ",Arunachal pradesh,,
650,Himalayan University ,Arunachal pradesh,,
651,Apex Professional University ,Arunachal pradesh,,
652,Rajiv Gandhi University ,Arunachal pradesh,,
653,Arunachal University of Studies ,Arunachal pradesh,,
654,North East Frontier Technical University ,Arunachal pradesh,,
655,Venkateshwara Open University ,Arunachal pradesh,,
656,"Tomi Polytechnic College, Basar ",Arunachal pradesh,,
657,"Government Polytechnic Laying, Itanagar ",Arunachal pradesh,,
658,"Government Polytechnic Roing, Roing ",Arunachal pradesh,,
659,Government Polytechnic ,Arunachal pradesh,,
660,Rajiv Gandhi Government Polytechnic ,Arunachal pradesh,,
661,"The Global University, Itanagar ",Arunachal pradesh,,
662,National Institute of Technology ,Meghalaya,,
663,"CMJ University, Ri-Bhoi ",Meghalaya,,
664,North-Eastern Hill University ,Meghalaya,,
665,William Carey University ,Meghalaya,,
666,Mahatma Gandhi University ,Meghalaya,,
667,"MIT University, Shillong ",Meghalaya,,
668,Regional Institute of Science and Technolog ,Meghalaya,,
669,"Tura Polytechnic College, Tura ",Meghalaya,,
670,"Shillong Polytechnic, Mawlai ",Meghalaya,,
671,"Jowai Polytechnic, Jowai ",Meghalaya,,
672,National Institute of Technology ,Nagaland,,
673,"St.Joseph University, Dimapur ",Nagaland,,
674,"Nagaland University, Zunhebotto ",Nagaland,,
675,The Global Open University ,Nagaland,,
676,"Government Polytechnic, Kohima ",Nagaland,,
677,"Khelhoshe Polytechnic Atoizu[KPA], Kohima ",Nagaland,,
678,"Government Polytechnic Seithekema C, Dimapur ",Nagaland,,
679,Government Polytechnic Tsunazho ,Nagaland,,
680,"Government Polytechnic Sedem, Tuensang ",Nagaland,,
681,"Institute of Communication and Information Technology, Kohima ",Nagaland,,
682,Pondicherry Engineering College ,Puducherry,,
683,National Institute of Technology ,Puducherry,,
684,Manakula Vinayagar Institute of Technology ,Puducherry,,
685,"Sri Manakula Vinayagar Engineering College, Pondicherry ",Puducherry,,
686,"Rajiv Gandhi College of Engineering and Technology, Pondicherry ",Puducherry,,
687,"Christ College of Engineering and Technology, Pondicherry ",Puducherry,,
688,Perunthalaivar Kamarajar Institute of Engineering and Technology ,Puducherry,,
689,Achariya College of Engineering Technology ,Puducherry,,
690,"Regency Institute of Technology, Yanam ",Puducherry,,
691,Bharathiyar College of Engineering and Technology ,Puducherry,,
692,"PSV College of Engineering and Technology, Pondicherry ",Puducherry,,
693,Christ Institute of Technology ,Puducherry,,
694,R V S College of Engineering and Technology ,Puducherry,,
695,"Alpha College of Engineering & Technology, Pondicherry ",Puducherry,,
696,Pondicherry University ,Puducherry,,
697,"Sri Chakra Maritime College, Pondicherry ",Puducherry,,
698,"Motilal Nehru Government Polytechnic College, Pondicherry ",Puducherry,,
699,Karaikal Polytechnic College ,Puducherry,,
700,Dr. B. R. Ambedkar Polytechnic College ,Puducherry,,
701,Indira Gandhi Polytechnic College ,Puducherry,,
702,"Sri Manakula Vinayagar Polytechnic College-[SMVPC], Pondicherry ",Puducherry,,
703,Women’s Polytechnic College ,Puducherry,,
704,National Institute of Technology ,Tripura,,
705,"ICFAI University, West Tripura ",Tripura,,
706,Indian Institute of Information Technology ,Tripura,,
707,"Tripura Institute of Technology, Agartala ",Tripura,,
708,Techno College of Engineering Agartala ,Tripura,,
709,"Tripura University, West Tripura ",Tripura,,
710,"TTAADC Polytechnic Institute, West Tripura ",Tripura,,
711,Sikkim Manipal University ,Sikkim,,
712,National Institute of Technology ,Sikkim,,
713,"SRM University Sikkim, Gangtok ",Sikkim,,
714,Vinayaka Missions Sikkim University ,Sikkim,,
715,College of Agricultural Engineering and Post Harvest Technology ,Sikkim,,
716,National Institute of Technology ,Manipur,,
717,Indian Institute of Information Technology ,Manipur,,
718,Manipur Institute of Technology ,Manipur,,
719,Manipur Technical University ,Manipur,,
720,Central Agricultural University ,Manipur,,
721,Manipur University ,Manipur,,
722,"Government Polytechnic, Imphal ",Manipur,,
723,"Bir Tikendrajit University, Imphal ",Manipur,,
724,National Institute of Technology ,Mizoram,,
725,"Mizoram University, School of Engineering and Technology ",Mizoram,,
726,"Mizoram Polytechnic, Lunglei ",Mizoram,,
727,Mizoram University ,Mizoram,,
728,National Institute of Electronics & Information Technology ,Mizoram,,
729,"Dr. B R Ambedkar Institute of Technology, Port Blair ",Andaman,,
730,"Plastindia International University, Dadra & Nagar Haveli ",Dadra,,
731,"Government Polytechnic, Daman ",Daman,,
