,College_Name,State,,
115,"Andhra University, College of Engineering ",Andhra pradesh,,
116,"Sri Venkateswara University College of Engineering, Tirupati ",Andhra pradesh,,
117,"Vignan’s Foundation for Science, Technology, and Research, ",Andhra pradesh,,
118,"JNTUK University College of Engineering, Kakinada, East ",Andhra pradesh,,
119,Sree Vidyanikethan Engineering College ,Andhra pradesh,,
120,G. Pulla Reddy Engineering College ,Andhra pradesh,,
121,Sri Venkateswara College of Engineering and Technology ,Andhra pradesh,,
122,Velagapudi Ramakrishna Siddhartha Engineering College ,Andhra pradesh,,
123,Shri Vishnu Engineering College for Women ,Andhra pradesh,,
124,"JNTUA College of Engineering, Ananthapur ",Andhra pradesh,,
125,Sagi Ramakrishnam Raju Engineering College ,Andhra pradesh,,
126,Gayatri Vidya Parishad College of Engineering ,Andhra pradesh,,
127,Jawaharlal Nehru Technological University ,Andhra pradesh,,
128,Indian Institute of Technology ,Andhra pradesh,,
129,Prasad V. Potluri Siddhartha Institute of Technology ,Andhra pradesh,,
130,Centurion University of Technology and Management ,Andhra pradesh,,
131,Aditya Engineering College ,Andhra pradesh,,
132,Bapatla Engineering College ,Andhra pradesh,,
133,Gudlavalleru Engineering College ,Andhra pradesh,,
134,Sri Venkateswara College of Engineering ,Andhra pradesh,,
135,Sri Vasavi Engineering College ,Andhra pradesh,,
136,Indian Institute of Information Technology Sri City ,Andhra pradesh,,
137,National Institute of Technology ,Andhra pradesh,,
138,"Rajiv Gandhi University of Knowledge Technologies -[RGUKT], ",Andhra pradesh,,
139,Raghu Engineering College ,Andhra pradesh,,
140,Indian Institute of Information Technology Design and ,Andhra pradesh,,
141,Rajeev Gandhi Memorial College of Engineering and ,Andhra pradesh,,
142,VIT University ,Andhra pradesh,,
143,National Institute of Technology ,Karnataka,,
144,Manipal Institute of Technology ,Karnataka,,
145,R V College of Engineering ,Karnataka,,
146,Ramaiah Institute of Technology ,Karnataka,,
147,International Institute of Information Technology ,Karnataka,,
148,BMS College of Engineering ,Karnataka,,
149,Siddaganga Institute of Technology ,Karnataka,,
150,New Horizon College of Engineering ,Karnataka,,
151,"Faculty of Engineering and Technology, Jain University ",Karnataka,,
152,Sri Jayachamarajendra College of Engineering ,Karnataka,,
153,Dayananda Sagar College of Engineering ,Karnataka,,
154,NMAM Institute of Technology ,Karnataka,,
155,Nitte Meenakshi Institute of Technology ,Karnataka,,
156,PES University ,Karnataka,,
157,BMS Institute of Technology and Management ,Karnataka,,
158,"KLE Technological University, Hubli ",Karnataka,,
159,Dr. Ambedkar Institute of Technology ,Karnataka,,
160,PES College of Engineering ,Karnataka,,
161,CMR Institute of Technology ,Karnataka,,
162,The National Institute of Engineering ,Karnataka,,
163,"Alliance College of Engineering and Design, Bangalore ",Karnataka,,
164,Basaveshwar Engineering College ,Karnataka,,
165,"Christ University, Bangalore ",Karnataka,,
166,Manipal Academy of Higher Education ,Karnataka,,
167,Indian Institute of Science ,Karnataka,,
168,"REVA University, Bangalore ",Karnataka,,
169,"Alliance University, Bangalore ",Karnataka,,
170,"Presidency University, Bangalore ",Karnataka,,
171,Indian Institute of Technology ,Telangana,,
172,National Institute of Technology ,Telangana,,
